multi_label_threshold,ambiguous_margin,min_confidence,ambiguous_rate,multi_intent_rate,coverage_rate,n,intent_config_fingerprint,gold_macro_f1,gold_accuracy
0.4,0.1,0.3,0.05454545454545454,0.10909090909090909,1.0,55,7d539352a19825ba334cddcf54cf17a8a360a98b4b09428e3cd8b820cfafa6c1,,
0.4,0.1,0.4,0.05454545454545454,0.10909090909090909,1.0,55,13442eb6a299637c02f1a180120a53e45b717636acd216f2d0d071e131a7463d,,
0.4,0.1,0.5,0.05454545454545454,0.10909090909090909,1.0,55,82e282f744c01748a1faa9da6f9e17d7790a360ed10554c352a38fd7f73f2019,,
0.4,0.15,0.3,0.05454545454545454,0.10909090909090909,1.0,55,c6d1d0a1808b0449242abbb47624885a54cf64c743bdde3e275d0eeb9416019a,,
0.4,0.15,0.4,0.05454545454545454,0.10909090909090909,1.0,55,8286efefedfda1ddb767c4a685b67f1d68e9f5df53c866f52e7a27d9569dfae1,,
0.4,0.15,0.5,0.05454545454545454,0.10909090909090909,1.0,55,f335d4ce2428a4ebdeba60f43aa7b9cebf466313c03e7839108cd3c02fbf03cd,,
0.4,0.2,0.3,0.10909090909090909,0.10909090909090909,1.0,55,730e6cc18e34042afb0c5f4a2731acb646545344d1792dc1a824401a533d2146,,
0.4,0.2,0.4,0.10909090909090909,0.10909090909090909,1.0,55,f1ff307f85610cecde2b43ccc8086b25dd5a396b1025a25aa431aecce132f718,,
0.4,0.2,0.5,0.10909090909090909,0.10909090909090909,1.0,55,29f0f72987291ce9cad433556f314f33a8525614d681d298b05ddf12db31d463,,
0.6,0.1,0.3,0.05454545454545454,0.10909090909090909,1.0,55,f9e15653e7a69f67e7b3bf0f50466938759230c88b2084eec2a26827fe7867ce,,
0.6,0.1,0.4,0.05454545454545454,0.10909090909090909,1.0,55,12ed9147f150eef9a82048f814484a450a0cda81bff63f995b5857d69c146baa,,
0.6,0.1,0.5,0.05454545454545454,0.10909090909090909,1.0,55,af42f5b6e61a7d82fea5d8a31a9d68e46ab5790bb98e5031052507da11b6a60b,,
0.6,0.15,0.3,0.05454545454545454,0.10909090909090909,1.0,55,ddb91462bbb3015d503b541e2b4dde07011b07fa0f5cbd03ff17dc944ca64ecf,,
0.6,0.15,0.4,0.05454545454545454,0.10909090909090909,1.0,55,078a436b78face8f4b10a4bc059d20c10a58c0fb2828809d7475e96f5e248825,,
0.6,0.15,0.5,0.05454545454545454,0.10909090909090909,1.0,55,a243e17a6bd8a02b627ed93d4c4966e8e05ff62ecd1f95ae84de03e6e8d7450c,,
0.6,0.2,0.3,0.10909090909090909,0.10909090909090909,1.0,55,5bc714bd5451b662ce094a7770eb8b6b9c4479f6e42174ec9adad3b3e172a607,,
0.6,0.2,0.4,0.10909090909090909,0.10909090909090909,1.0,55,1d6fb8cb78a0a46537a78bb7b2c298e95d1e4614380116c9cd9752365a57dc89,,
0.6,0.2,0.5,0.10909090909090909,0.10909090909090909,1.0,55,07dcd3b1d9d2765c63ebe069f6ae0fe635e906eba6b17059ce0b45ccfba349c2,,
0.8,0.1,0.3,0.05454545454545454,0.10909090909090909,1.0,55,b467b6ba8f5bb74aeac467836ed1f919fd7fb5d7b33287f3c887cb95fd51b648,,
0.8,0.1,0.4,0.05454545454545454,0.10909090909090909,1.0,55,8751b649e17d89e6fb6b62689f3e863a174ac69e8e51a77d8af86df8e05cddd8,,
0.8,0.1,0.5,0.05454545454545454,0.10909090909090909,1.0,55,c1f7fb2ebcefe7883c39341ae9a369179477a3b32a2b557311b94fead77ecde7,,
0.8,0.15,0.3,0.05454545454545454,0.10909090909090909,1.0,55,164ff8c14f20a9fc37b4786bc2440c90dceaa1f08915ad181a26b9c62e174f5c,,
0.8,0.15,0.4,0.05454545454545454,0.10909090909090909,1.0,55,5f9de87874d752491189f630ea1b61bef5dbc81c811546a215042a14428a0615,,
0.8,0.15,0.5,0.05454545454545454,0.10909090909090909,1.0,55,2f1bc9e7954c540c32d9abdf3e3dd497a96e0cefd4c6ac56120539046267a7e4,,
0.8,0.2,0.3,0.10909090909090909,0.10909090909090909,1.0,55,87ab61aca0e8d7f26d4a8f93e276e0aa02f84bda91899920175e9b64b6475ab5,,
0.8,0.2,0.4,0.10909090909090909,0.10909090909090909,1.0,55,074a3212d2d854b135d2165b2b290990abd96485b9248fe7529822bded7780ff,,
0.8,0.2,0.5,0.10909090909090909,0.10909090909090909,1.0,55,bd2713f72f95b5dee792451a5e4598d86783e702e4a6a85478da82354f00c736,,
