triple_id,subject,predicate,object,audit_strict,audit_relaxed,remarks
724,分组交换,通过,路由器的缓存和转发提高传输效率,,,
1435,以太网,不负责,重传丢弃的帧,,,
37,本地站点单播地址,占IPv6地址总数的,1/1024,,,
1807,802.11b标准,定义了,11个部分重叠的信道集,,,
1504,帧间最小间隔,是,10 Mbit/s以太网的1/10,,,
2480,网络层,提供,两种服务和两个层面,,,
928,局域网,特点包括,具有广播功能,,,
1211,本地域名服务器,经过,三次迭代查询后从权限域名服务器得到主机IP地址,,,
2137,UDP,支持,多对多的通信,,,
2584,PING,是,应用层直接使用网络层ICMP的一个例子,,,
1241,MPLS,综合了,思科公司的标签交换和Ipsilon公司的IP交换等技术,,,
1128,TCP,使用,mod 2^32运算的序号,,,
2898,流表项,包括,首部字段值、计数器和动作,,,
1010,时分复用TDM,将时间划分为,一段段等长的时分复用帧,,,
434,HTTP响应报文,包括,状态行、首部行和实体主体,,,
1268,DSLAM,包括,许多ADSL调制解调器,,,
82,多播路由选择协议,尚未,标准化,,,
2043,传输媒体,不属千,物理层的范围,,,
26,IPv6,取消了,检验和字段,,,
2469,本章,介绍,软件定义网络SDN,,,
1606,双向交替通信,又称为,半双工通信,,,
2966,远程终端协议,允许,用户只复制大文件中的小片段,,,
1365,应用层协议,是,网络应用的一部分,,,
446,Java,用于,创建和运行活动文档,,,
2857,广域网WAN,是,互联网的核心部分,,,
99,IPv6,把,IP数据报的首部长度做成固定的,,,
3007,密码散列函数,具有,单向性,,,
2664,IEEE 802.15.3a工作组,提出,超高速WPAN物理层标准,,,
2914,运输层协议,提供,通信服务,,,
1845,争用窗口CW,由,许多时隙组成,,,
1908,流式音频/视频,允许,用户在屏幕上观看播放的内容,,,
2054,几种常用的宽带接入技术,是,本章的重要内容,,,
1190,根,是,最上面的一级,,,
2701,MME,负责,移动性管理,,,
1299,GPON,是,吉比特无源光网络,,,
406,NVT格式,定义为,所有通信使用8位一个字节,,,
554,H.323,用于,视频会议,,,
1,路由器,在收到数据报后,把TTL的值减1,,,
801,MPLS,使用,生存时间TTL防止分组在MPLS域中兜圈子,,,
1303,通信,传送,消息,,,
2285,5G,采用,天线波束赋形技术,,,
2637,网络地址转换NAT,使得,专用网内的主机可以使用有限数量的全球IP地址,,,
2995,万维网WWW,是,大规模的、联机式的信息储藏所,,,
1790,移动站,能够,在移动过程中进行通信,,,
2424,恶意程序,包括,计算机病毒,,,
2750,网络,成为,信息社会的命脉和发展知识经济的重要基础,,,
2192,SMTP客户,发送,MAIL命令开始邮件传送,,,
2347,SNMP,允许,管理者设置代理中变量的值,,,
83,多播转发树,要找出,以源主机为根节点的多播转发树,,,
1803,链路层设备,的唯一标志是,MAC地址,,,
